着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,5,9,イクイノックス,牡3,55,C.ルメール,02:32.4,,492,4,木村哲也,1
2,2,3,ボルドグフーシュ,牡3,55,福永祐一,02:32.8,2 1/2,498,2,宮本博,6
3,3,5,ジェラルディーナ,牝4,55,C.デムーロ,02:33.1,1 1/2,470,0,斉藤崇史,3
4,1,2,イズジョーノキセキ,牝5,55,岩田康誠,02:33.2,3/4,472,2,石坂公一,13
5,4,7,エフフォーリア,牡4,57,横山武史,02:33.2,クビ,532,12,鹿戸雄一,5
6,4,8,ウインマイティー,牝5,55,和田竜二,02:33.5,1 1/2,484,-10,五十嵐忠男,15
7,5,10,ジャスティンパレス,牡3,55,T.マーカンド,02:33.5,クビ,456,4,杉山晴紀,7
8,8,16,ディープボンド,牡5,57,川田将雅,02:33.6,1/2,504,前計不,大久保龍志,8
9,7,13,タイトルホルダー,牡4,57,横山和生,02:34.1,3,476,前計不,栗田徹,2
10,3,6,ヴェラアズール,牡5,57,松山弘平,02:34.1,クビ,510,0,渡辺薫彦,4
11,7,14,ボッケリーニ,牡6,57,浜中俊,02:34.5,2 1/2,468,10,池江泰寿,14
12,6,12,ポタジェ,牡5,57,吉田隼人,02:34.5,アタマ,472,4,友道康夫,12
13,6,11,ラストドラフト,牡6,57,三浦皇成,02:34.6,1/2,470,2,戸田博文,16
14,2,4,アリストテレス,牡5,57,武豊,02:34.9,1 3/4,484,6,音無秀孝,10
15,1,1,アカイイト,牝5,55,幸英明,02:35.0,1/2,522,-2,中竹和也,9
16,8,15,ブレークアップ,牡4,57,戸崎圭太,02:36.2,7,504,4,黒岩陽一,11
