着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,推定,馬体重,前走比,調教師,単勝人気
1,5,10,エフフォーリア,牡3,55,横山武史,02:32.0,,35.9,516,2,鹿戸雄一,1
2,3,5,ディープボンド,牡4,57,和田竜二,02:32.1,３／４馬身,36.1,502,前計不,大久保龍志,5
3,4,7,クロノジェネシス,牝5,55,C.ルメール,02:32.2,１／２馬身,36,478,前計不,斉藤崇史,2
4,5,9,ステラヴェローチェ,牡3,55,M.デムーロ,02:32.3,１／２馬身,35.9,498,4,須貝尚介,3
5,8,16,タイトルホルダー,牡3,55,横山和生,02:32.5,1.5,36.9,476,12,栗田徹,4
6,6,11,アリストテレス,牡4,57,武豊,02:33.0,3,36.4,474,-6,音無秀孝,9
7,7,13,アカイイト,牝4,55,幸英明,02:33.1,１／２馬身,36.6,516,2,中竹和也,6
8,2,3,モズベッロ,牡5,57,池添謙一,02:33.5,2.5,37.1,480,0,森田直行,14
9,4,8,ユーキャンスマイル,牡6,57,藤岡佑介,02:33.6,１／２馬身,36.9,512,6,友道康夫,16
10,8,15,キセキ,牡7,57,松山弘平,02:33.6,クビ,37.6,516,4,辻野泰之,7
11,3,6,ウインキートス,牝4,55,丹内祐次,02:34.3,4,38.5,480,10,宗像義忠,12
12,6,12,シャドウディーヴァ,牝5,55,横山典弘,02:34.3,ハナ,38.4,476,-2,斎藤誠,13
13,1,2,パンサラッサ,牡4,57,菱田裕二,02:34.4,１／２馬身,39.1,480,6,矢作芳人,8
14,1,1,ペルシアンナイト,牡7,57,C.デムーロ,02:34.6,３／４馬身,38.8,500,-2,池江泰寿,11
15,2,4,メロディーレーン,牝5,55,岩田望来,02:35.2,3.5,38.8,352,-2,森田直行,15
16,7,14,アサマノイタズラ,牡3,55,田辺裕信,02:35.4,1.25,38.4,496,4,手塚貴久,10
